 namefirst | namelast  |          lslg          
-----------+-----------+------------------------
 Aaron     | Judge     | 0.58945686900958466454
 Albert    | Belle     | 0.56381342901076371092
 Albert    | Pujols    | 0.56119617716575891481
 Babe      | Ruth      | 0.68980709692783996190
 Barry     | Bonds     | 0.60688534579059612065
 Cody      | Bellinger | 0.58125000000000000000
 D. T.     | Cromer    | 0.57692307692307692308
 Gary      | Sanchez   | 0.56676557863501483680
 Hank      | Greenberg | 0.60504525322549585981
 Jimmie    | Foxx      | 0.60929432013769363167
 Joe       | DiMaggio  | 0.57880076235156135464
 John      | Bass      | 0.60000000000000000000
 Johnny    | Mize      | 0.56200527704485488127
 Juan      | Gonzalez  | 0.56070774862721171446
 Larry     | Walker    | 0.56522368611553496453
 Lou       | Gehrig    | 0.63242094738157730284
 Manny     | Ramirez   | 0.58539543910722950024
 Mark      | McGwire   | 0.58816874090835623081
 Matt      | Olson     | 0.60000000000000000000
 Mike      | Trout     | 0.56575463371579876434
 Rhys      | Hoskins   | 0.61764705882352941176
 Rogers    | Hornsby   | 0.57653248501162363881
 Stan      | Musial    | 0.55905942398833394094
 Ted       | Williams  | 0.63379185050609914352
(24 rows)

